tr,ts,ti,n,alpha,Ks,RMSETWT,RMSEVOL,RMSEAMP,RMSE,Converged,TWT,VOL,SAmp,Amp
0.03,0.3,0.07,11.0,6.5,0.273,0.010666248240908697,0.006499469525635718,1.2981958314389945,0.012490474596721906,0,"[0.         0.80194247 1.15574063 1.40339933 1.61567822 1.94588983
 2.22892835 2.47658705 2.70065922 3.10163045 3.44363533 3.76205367]","[0.     0.097  0.1795 0.256  0.329  0.467  0.6    0.7295 0.8565 1.1035
 1.3465 1.5855]",-0.107052303486599,"[167.26741028 257.77572632 249.5949707  246.35997009 234.70480347
 218.04121399 206.77923584 192.53613281 181.70884705 165.24545288
 150.04560852 142.40612793]"
0.03,0.3,0.07,7.0,8.5,0.351,0.010361485170990281,0.007051260947139939,1.4056641880209098,0.012533182193414101,0,"[0.         0.80194247 1.14394735 1.39160606 1.60388495 1.94588983
 2.22892835 2.47658705 2.71245249 3.11342372 3.46722188 3.80922675]","[0.      0.095   0.1765  0.252   0.32425 0.46075 0.59125 0.71975 0.84525
 1.09125 1.33425 1.57425]",-0.14563344349950663,"[168.70471191 257.43878174 244.21160889 233.60772705 225.49607849
 203.11102295 186.42584229 172.84757996 157.03216553 137.26687622
 120.16460419 114.24869537]"
0.03,0.3,0.07,10.0,6.5,0.273,0.01070119521476562,0.006570313766452103,1.3126308906127915,0.012557252964488397,0,"[0.         0.80194247 1.14394735 1.37981279 1.59209168 1.92230328
 2.2053418  2.46479378 2.67707267 3.06625064 3.40825552 3.72667385]","[0.      0.09675 0.17875 0.25475 0.32725 0.46375 0.59525 0.72375 0.84925
 1.09425 1.33425 1.57125]",-0.11223448972999214,"[168.31758118 257.37380981 247.89881897 245.56793213 229.99499512
 214.54414368 202.37902832 186.97715759 176.6446228  158.0954895
 145.89242554 137.69950867]"
0.03,0.3,0.07,8.0,8.5,0.351,0.010592998263620017,0.006937183976732359,1.3678603952835329,0.0126623905223338,0,"[0.         0.81373575 1.15574063 1.40339933 1.61567822 1.9576831
 2.25251489 2.51196687 2.7478323  3.14880354 3.51439496 3.84460657]","[0.      0.09625 0.17925 0.25625 0.32975 0.46875 0.60325 0.73475 0.86175
 1.11375 1.36175 1.60275]",-0.1320618819067883,"[169.28890991 258.50753784 244.83592224 234.40065002 227.09944153
 204.46932983 187.50047302 176.16339111 161.35630798 144.30641174
 127.37788391 122.87205505]"
0.03,0.3,0.07,9.0,6.5,0.273,0.010965296992684918,0.006848992804290647,1.3385461278749464,0.01292851269756154,0,"[0.         0.7901492  1.13215408 1.36801952 1.58029841 1.89871674
 2.18175526 2.44120724 2.65348613 3.04266409 3.3728757  3.69129404]","[0.      0.0965  0.17775 0.253   0.32475 0.46075 0.59175 0.71975 0.84525
 1.08925 1.32825 1.56425]",-0.12153805990710577,"[169.83424377 256.19723511 245.8250885  242.46801758 222.74165344
 208.26210022 193.87757874 177.97138977 167.90057373 150.20011902
 137.23249817 129.10368347]"
0.03,0.35,0.1,7.0,4.500000000000001,0.213,0.011651758377071516,0.00577146755581979,1.5765551200401962,0.013002819349107974,0,"[0.         0.82552902 1.1675339  1.42698587 1.62747149 1.9576831
 2.24072162 2.46479378 2.68886594 3.05445737 3.40825552 3.71488058]","[0.     0.1    0.1835 0.261  0.3345 0.473  0.606  0.735  0.8615 1.1055
 1.3465 1.5815]",-0.20698328809443045,"[180.86264038 257.66326904 239.88900757 229.9349823  205.24717712
 187.78227234 161.86192322 143.42985535 128.71499634 104.81118011
  90.88093567  79.15871429]"
0.03,0.3,0.07,5.0,7.500000000000001,0.351,0.011140389422496183,0.006943247718530342,1.4642251319431427,0.013126955677754902,0,"[0.         0.7901492  1.13215408 1.37981279 1.58029841 1.91051001
 2.18175526 2.42941397 2.64169286 3.01907755 3.3728757  3.70308731]","[0.      0.09775 0.18125 0.25875 0.33275 0.47225 0.60725 0.73875 0.86775
 1.11975 1.36675 1.61075]",-0.16665682236758825,"[169.28890991 255.13650513 239.78405762 225.62896729 216.37269592
 192.4485321  173.81672668 159.28326416 142.70167542 123.59542084
 108.6272049   97.75543976]"
0.03,0.3,0.07,6.0,8.5,0.351,0.01054378204019094,0.008086138519142009,1.4303446650561988,0.013287474397409207,0,"[0.         0.7901492  1.12036081 1.35622624 1.56850513 1.89871674
 2.16996199 2.42941397 2.64169286 3.04266409 3.39646224 3.71488058]","[0.      0.0935  0.1735  0.24775 0.31875 0.45275 0.58125 0.70725 0.83075
 1.07175 1.30875 1.54275]",-0.15449373475517533,"[169.83424377 256.30490112 240.44691467 231.19647217 219.66583252
 197.13923645 179.4874115  164.14964294 147.91738892 130.5194397
 114.00285339 107.02980042]"
0.03,0.35,0.1,8.0,6.5,0.273,0.011304292676770064,0.007143596787971063,1.4942995492490552,0.013372285069919344,0,"[0.         0.82552902 1.1675339  1.42698587 1.63926476 1.98126964
 2.27610143 2.52376014 2.75962557 3.16059681 3.51439496 3.8328133 ]","[0.      0.097   0.178   0.25325 0.32475 0.45925 0.58875 0.71425 0.83725
 1.07725 1.31225 1.54425]",-0.17745353818041074,"[179.10191345 259.46646118 241.61108398 236.4058075  210.01948547
 196.6579895  175.60624695 154.03285217 145.55554199 120.26332855
 106.00701141  92.97537994]"
0.03,0.35,0.1,9.0,3.5000000000000004,0.166,0.012106841044379061,0.005750321494261575,1.4667047474487243,0.013403051792827936,0,"[0.         0.82552902 1.17932717 1.43877915 1.63926476 1.98126964
 2.25251489 2.48838033 2.71245249 3.06625064 3.40825552 3.69129404]","[0.      0.1     0.18375 0.26125 0.335   0.4735  0.6065  0.736   0.8625
 1.1065  1.3475  1.5825 ]",-0.167547004334092,"[177.91235352 260.10842896 246.53871155 241.92269897 217.59346008
 203.60017395 181.23057556 166.17160034 148.98687744 130.96939087
 111.80597687 100.73629761]"
0.03,0.35,0.1,8.0,4.500000000000001,0.213,0.011786350996469215,0.006423080038517778,1.5175650800010354,0.013422891901269876,0,"[0.         0.83732229 1.19112044 1.45057242 1.65105804 1.99306291
 2.27610143 2.51196687 2.7478323  3.125217   3.46722188 3.77384694]","[0.      0.10125 0.186   0.2645  0.33925 0.47975 0.61475 0.74575 0.87425
 1.12425 1.36925 1.61025]",-0.18580586372037172,"[179.10191345 258.18743896 241.85818481 235.60038757 209.21038818
 195.11106873 171.59117126 152.73719788 140.79815674 115.76029968
 101.9192276   89.22711945]"
0.03,0.3,0.1,5.0,7.500000000000001,0.351,0.01127200064427596,0.007352717689912619,1.267568791314735,0.01345810001271025,0,"[0.         0.82552902 1.1675339  1.42698587 1.63926476 1.98126964
 2.26430816 2.51196687 2.73603903 3.125217   3.47901515 3.79743348]","[0.      0.09375 0.1745  0.24975 0.32175 0.45775 0.58925 0.71775 0.84425
 1.09125 1.33425 1.57425]",-0.09605719608198994,"[ 66.97764587 108.7445755  103.88881683  97.83317566  97.05549622
  92.48329926  88.3312149   84.96716309  79.91692352  73.37618256
  66.25922394  60.00207138]"
0.03,0.35,0.1,7.0,6.5,0.273,0.010659514385971179,0.008405179373685264,1.5460099484401164,0.013574692897025358,0,"[0.         0.80194247 1.15574063 1.4151926  1.61567822 1.94588983
 2.24072162 2.47658705 2.71245249 3.11342372 3.46722188 3.77384694]","[0.     0.096  0.176  0.25   0.3205 0.453  0.5805 0.7045 0.826  1.062
 1.293  1.521 ]",-0.1960175714900018,"[180.86264038 256.35836792 239.5647583  231.33979797 205.88116455
 189.99212646 165.15847778 145.54905701 133.63336182 107.38046265
  94.23698425  85.29704285]"
0.03,0.3,0.1,10.0,4.500000000000001,0.213,0.011858074188237477,0.006780720692233441,1.2679929799633802,0.013659871762202845,0,"[0.         0.83732229 1.17932717 1.42698587 1.63926476 1.96947637
 2.24072162 2.48838033 2.70065922 3.07804391 3.39646224 3.69129404]","[0.      0.09725 0.1805  0.25775 0.3315  0.471   0.606   0.736   0.8635
 1.1155  1.3625  1.6035 ]",-0.09620947980685349,"[ 65.42279053 112.30118561 106.82131958 100.71550751  99.37889099
  92.25399017  88.36483002  86.18881226  82.17559814  74.67330933
  66.23830414  62.0392952 ]"
0.03,0.35,0.1,6.0,8.5,0.351,0.011706802330254798,0.007171681367818539,1.559776498459043,0.013728883219008557,0,"[0.         0.81373575 1.1675339  1.42698587 1.65105804 1.99306291
 2.28789471 2.54734668 2.77141885 3.19597663 3.56156805 3.9153662 ]","[0.      0.097   0.178   0.253   0.32425 0.45875 0.58825 0.71375 0.83775
 1.07775 1.31375 1.54775]",-0.20095976294679643,"[179.7565155  254.33805847 236.13130188 226.10928345 203.93000793
 182.89254761 162.19085693 142.94584656 127.5504303  106.60346222
  91.51509857  80.30323792]"
0.03,0.35,0.1,10.0,3.5000000000000004,0.166,0.012293278858799161,0.006198438032226624,1.4410119832221029,0.013767546591152393,0,"[0.         0.84911556 1.20291371 1.46236569 1.66285131 2.00485619
 2.28789471 2.52376014 2.7478323  3.11342372 3.46722188 3.7502604 ]","[0.      0.10075 0.18525 0.2635  0.338   0.478   0.6125  0.7435  0.8715
 1.1205  1.3635  1.6035 ]",-0.1583233019767349,"[177.25924683 260.41357422 247.57913208 244.63043213 219.44454956
 207.02444458 184.4037323  170.23930359 153.99278259 133.78338623
 119.18463135 106.0187149 ]"
0.03,0.3,0.1,9.0,4.500000000000001,0.213,0.012092873455492625,0.006611787173070532,1.2564519300574828,0.013782355315131669,0,"[0.         0.83732229 1.17932717 1.42698587 1.63926476 1.96947637
 2.24072162 2.47658705 2.68886594 3.06625064 3.38466897 3.67950077]","[0.      0.0965  0.17875 0.25525 0.32825 0.46625 0.59925 0.72675 0.85425
 1.10225 1.34525 1.58525]",-0.0920662428906363,"[ 64.53394318 108.86558533 105.17232513  99.10862732  97.71585083
  90.69769287  87.48889923  84.9056015   81.14095306  74.54273987
  66.62342072  62.14291382]"
0.03,0.3,0.07,9.0,8.5,0.351,0.011675437234277587,0.007496111058374796,1.338312040504124,0.013874707766689877,0,"[0.         0.82552902 1.17932717 1.42698587 1.63926476 1.99306291
 2.28789471 2.54734668 2.78321212 3.18418335 3.56156805 3.90357293]","[0.      0.09675 0.18075 0.2585  0.333   0.4735  0.609   0.7415  0.8715
 1.1255  1.3755  1.6235 ]",-0.1214540225409805,"[168.70471191 259.71426392 246.51043701 234.89788818 231.41926575
 208.24438477 190.50402832 181.44999695 165.95500183 154.27067566
 134.88632202 129.52893066]"
0.03,0.35,0.1,9.0,6.5,0.273,0.012373899725159775,0.006428993108435258,1.4559746819120751,0.013944366131044366,0,"[0.         0.83732229 1.19112044 1.45057242 1.66285131 2.00485619
 2.31148125 2.55913996 2.79500539 3.2077699  3.56156805 3.89177966]","[0.      0.09775 0.17975 0.25575 0.328   0.464   0.595   0.7225  0.8475
 1.0905  1.3275  1.5615 ]",-0.16369491080643495,"[177.91235352 259.40814209 241.96591187 238.69317627 213.25042725
 200.50263977 181.57835388 160.00737    154.14802551 128.63420105
 114.46594238  99.50772095]"
