tr,ts,ti,n,alpha,Ks,RMSETWT,RMSEVOL,RMSEAMP,RMSE,Converged,TWT,VOL,SAmp,Amp
0.03,0.39999999999999997,0.07,3.0,7.500000000000001,0.351,0.0063988657011044715,0.007388664673570482,0.09561037203422727,0.009774346419031792,0,"[0.         0.63683667 0.90808192 1.09677427 1.2500868  1.50953878
 1.72181767 1.91051001 2.06382254 2.34686107 2.59451977 2.81859193]","[0.      0.0955  0.17475 0.247   0.3155  0.443   0.565   0.6835  0.799
 1.023   1.242   1.457  ]",-0.06683223269408786,"[108.31534576 111.72976685  98.36592865  93.78108215  88.05620575
  81.99299622  78.57606506  75.76681519  73.82336426  71.1975174
  68.38621521  66.31372833]"
0.03,0.39999999999999997,0.07,7.0,7.500000000000001,0.273,0.006558182102483688,0.007285178793057014,0.38192785919919586,0.009802223346575257,0,"[0.         0.63683667 0.90808192 1.10856754 1.2500868  1.50953878
 1.72181767 1.89871674 2.06382254 2.35865434 2.60631304 2.8303852 ]","[0.      0.09575 0.1735  0.245   0.31275 0.43875 0.55975 0.67675 0.79125
 1.01225 1.22825 1.44125]",-0.08429759941115095,"[108.34111023 103.10757446  86.41971588  81.49258423  72.15934753
  65.81486511  62.10792542  59.89500427  58.26506042  55.7762413
  53.79854965  51.70319748]"
0.03,0.39999999999999997,0.07,2.0,7.500000000000001,0.45,0.006808860172806399,0.007814570538442795,0.13356828071506766,0.010364752266847835,0,"[0.         0.64862994 0.91987519 1.12036081 1.27367334 1.53312532
 1.73361094 1.92230328 2.08740909 2.37044761 2.60631304 2.8303852 ]","[0.      0.0975  0.17725 0.25    0.319   0.447   0.569   0.688   0.8035
 1.0275  1.2455  1.4605 ]",-0.06914766512361913,"[108.31534576 113.24999237 101.07666779  97.33518219  91.91040802
  85.75592041  81.92353058  78.41648102  76.3094101   73.23110962
  70.53833771  67.91495514]"
0.03,0.39999999999999997,0.07,8.0,5.500000000000001,0.213,0.006995060757932044,0.007688694556397079,0.28447740201849087,0.010394561029150337,0,"[0.         0.64862994 0.91987519 1.10856754 1.26188007 1.52133205
 1.72181767 1.89871674 2.06382254 2.34686107 2.59451977 2.80679866]","[0.      0.0975  0.1765  0.249   0.31775 0.44575 0.56825 0.68675 0.80275
 1.02675 1.24575 1.46075]",-0.07835312152312794,"[108.31534576 101.23893738  84.93867493  79.35744476  70.1320343
  64.43737793  61.66980743  59.36065674  57.52270508  55.22967148
  54.35118103  51.98905182]"
0.03,0.44999999999999996,0.1,4.0,3.5000000000000004,0.166,0.006831205362579092,0.007981332949384926,0.016051435999639818,0.010505571967040482,0,"[0.         0.64862994 0.91987519 1.12036081 1.27367334 1.53312532
 1.74540421 1.92230328 2.08740909 2.37044761 2.60631304 2.81859193]","[0.      0.09475 0.17275 0.244   0.311   0.4355  0.5545  0.6695  0.7815
 0.9965  1.2065  1.4125 ]",-0.06002086240402197,"[106.36789703 106.46420288  94.48891449  90.85510254  86.5141449
  79.45124054  77.41829681  75.28623199  73.13296509  70.0617981
  68.29472351  66.77987671]"
0.03,0.35,0.07,4.0,4.500000000000001,0.213,0.007679279483437645,0.007297184465347243,0.4722373892050877,0.010593405236563522,0,"[0.         0.66042321 0.94346173 1.13215408 1.29725989 1.55671186
 1.75719748 1.93409656 2.09920236 2.37044761 2.61810631 2.8303852 ]","[0.      0.092   0.1685  0.239   0.30575 0.43025 0.54925 0.66475 0.77775
 0.99675 1.21075 1.42075]",-0.08980648074151035,"[104.56492615 130.8838501  120.72296906 113.73873138 106.71176147
  96.99736786  90.7469635   86.68603516  83.21089935  79.22799683
  76.05944824  71.18372345]"
0.03,0.39999999999999997,0.07,7.0,5.500000000000001,0.213,0.007518808762633149,0.007580385694097949,0.2995879269235944,0.010676831574972692,0,"[0.         0.63683667 0.91987519 1.10856754 1.2500868  1.50953878
 1.71002439 1.88692347 2.05202927 2.32327452 2.57093323 2.78321212]","[0.      0.096   0.17375 0.245   0.3125  0.438   0.558   0.6745  0.787
 1.006   1.218   1.428  ]",-0.07927486354233926,"[108.39381409 104.93821716  89.1211319   83.83193207  75.11514282
  68.38303375  65.17990112  62.81668091  60.80623245  57.89068222
  56.79986572  55.26010895]"
0.03,0.39999999999999997,0.07,6.0,7.500000000000001,0.273,0.0070094700406303,0.008066674063442062,0.3523662222919905,0.010686622511172677,0,"[0.         0.63683667 0.90808192 1.09677427 1.2500868  1.50953878
 1.71002439 1.88692347 2.05202927 2.33506779 2.5827265  2.80679866]","[0.      0.09375 0.17    0.23975 0.306   0.429   0.547   0.661   0.772
 0.988   1.199   1.406  ]",-0.08249433955981142,"[108.3396759  105.91411591  90.18877411  85.09214783  76.79656219
  69.45059967  66.50119781  63.70932007  61.63178635  59.12044525
  56.99689484  54.89608765]"
0.03,0.39999999999999997,0.07,4.0,8.5,0.351,0.006920314867580796,0.00816839520578869,0.22517178637322643,0.010705766581819888,0,"[0.         0.64862994 0.91987519 1.12036081 1.27367334 1.54491859
 1.75719748 1.93409656 2.11099563 2.39403415 2.65348613 2.87755829]","[0.     0.0965 0.1765 0.25   0.3195 0.4495 0.5735 0.694  0.812  1.04
 1.263  1.483 ]",-0.07473547896876681,"[108.31534576 106.6698761   93.04296875  88.17214966  81.51863861
  75.65008545  71.90884399  69.38244629  67.21852112  64.59776306
  62.31249619  59.34675217]"
0.03,0.44999999999999996,0.1,3.0,5.500000000000001,0.273,0.007704374410019097,0.007624897639474504,0.09001895987327649,0.010839577900555952,0,"[0.         0.64862994 0.93166846 1.13215408 1.29725989 1.55671186
 1.76899075 1.9576831  2.1227889  2.4176207  2.6652794  2.88935156]","[0.      0.09475 0.173   0.24425 0.3115  0.437   0.5565  0.672   0.785
 1.003   1.215   1.423  ]",-0.06649115655226986,"[106.36789703 109.55397034  97.55787659  93.61359406  89.35743713
  82.34333038  79.49098969  76.84151459  74.97969055  70.77471161
  69.26138306  66.30630493]"
