tr,ts,ti,n,alpha,Ks,RMSETWT,RMSEVOL,RMSEAMP,RMSE,Converged,TWT,VOL,SAmp,Amp
0.03,0.39999999999999997,0.1,11.0,8.5,0.213,0.016729747817620766,0.013627189047440619,1.0891023771036243,0.021577412805428558,0,"[0.         0.67221649 0.99063482 1.20291371 1.4151926  1.71002439
 2.00485619 2.21713508 2.42941397 2.78321212 3.08983718 3.3728757 ]","[0.      0.07425 0.134   0.18875 0.24075 0.33725 0.42975 0.51925 0.60625
 0.77525 0.94025 1.10325]",-0.08063765127878006,"[196.44360352 244.37921143 228.02807617 215.98173523 194.48518372
 178.84329224 166.85427856 169.4463501  151.77290344 147.40193176
 150.07618713 139.75138855]"
0.03,0.3,0.1,8.0,7.500000000000001,0.213,0.017506734617998194,0.012975620180750198,1.0419069887566716,0.021791110023587787,0,"[0.         0.7075963  1.02601464 1.26188007 1.45057242 1.75719748
 2.01664946 2.24072162 2.44120724 2.79500539 3.10163045 3.38466897]","[0.      0.07    0.12775 0.18125 0.232   0.3275  0.419   0.507   0.5945
 0.7645  0.9315  1.0945 ]",-0.037925824824787804,"[ 85.83918762 162.84240723 173.00646973 179.32849121 173.17797852
 179.07818604 177.53538513 173.27357483 172.84451294 164.32067871
 152.75706482 140.59043884]"
0.03,0.39999999999999997,0.1,10.0,8.5,0.213,0.016750462346778443,0.014143620349061454,1.0987478820473418,0.02192304690067573,0,"[0.         0.67221649 0.97884155 1.20291371 1.40339933 1.69823112
 1.99306291 2.2053418  2.4176207  2.77141885 3.08983718 3.36108243]","[0.      0.074   0.1335  0.188   0.23975 0.33575 0.42775 0.51675 0.60325
 0.77025 0.93025 1.09025]",-0.08936683325284422,"[196.44360352 245.93508911 228.27500916 215.49766541 192.26519775
 180.56721497 162.05027771 162.68228149 145.89689636 141.39457703
 144.27563477 134.00787354]"
0.03,0.3,0.1,11.0,7.500000000000001,0.213,0.018223379725191308,0.012380723808780062,1.0775276961515823,0.022031202659814265,0,"[0.         0.7075963  1.01422136 1.2500868  1.43877915 1.74540421
 1.99306291 2.21713508 2.4176207  2.75962557 3.06625064 3.33749589]","[0.      0.07175 0.1315  0.18675 0.23925 0.33875 0.43425 0.52675 0.61775
 0.79375 0.96675 1.13775]",-0.07016256501718189,"[145.99542236 231.63088989 238.67118835 242.56489563 227.29798889
 231.38430786 218.6048584  213.28462219 206.74490356 192.54299927
 180.06758118 160.55369568]"
0.03,0.39999999999999997,0.1,6.0,7.500000000000001,0.213,0.017287355008699424,0.013870681907986095,1.159226034347579,0.022164125513751673,0,"[0.         0.64862994 0.95525501 1.17932717 1.36801952 1.65105804
 1.9576831  2.18175526 2.40582742 2.7478323  3.05445737 3.31390934]","[0.      0.07575 0.137   0.19275 0.2455  0.3435  0.437   0.5275  0.616
 0.786   0.952   1.115  ]",-0.14409956108455904,"[196.8099823  241.76451111 222.56733704 203.33030701 176.91555786
 149.98275757 127.32575226 121.40479279 111.43004608 102.95249176
 105.2172699   95.99505615]"
0.03,0.35,0.1,10.0,7.500000000000001,0.213,0.017477001065077123,0.01375749983209464,1.1410239261973898,0.022242175429997645,0,"[0.         0.69580303 1.01422136 1.23829353 1.42698587 1.73361094
 1.98126964 2.2053418  2.40582742 2.77141885 3.07804391 3.36108243]","[0.      0.076   0.13775 0.19475 0.24875 0.34975 0.44675 0.53875 0.62875
 0.80675 0.98175 1.14975]",-0.12762665320863795,"[178.55302429 261.28726196 262.5428772  240.29988098 244.54345703
 215.26820374 209.43843079 187.98544312 179.40609741 161.70294189
 138.54745483 130.1346283 ]"
0.03,0.35,0.1,11.0,7.500000000000001,0.213,0.01710142025457383,0.014394101748257242,1.1377609561425188,0.022352823979594396,0,"[0.         0.7075963  1.01422136 1.23829353 1.42698587 1.74540421
 1.98126964 2.21713508 2.42941397 2.78321212 3.10163045 3.3728757 ]","[0.      0.0765  0.13875 0.1965  0.251   0.3535  0.452   0.5475  0.639
 0.816   0.99    1.16   ]",-0.12467366530897951,"[179.10191345 266.01901245 263.29782104 240.65803528 245.83512878
 215.34147644 220.14035034 187.95561218 181.00221252 164.84059143
 142.46604919 131.90953064]"
0.03,0.44999999999999996,0.1,9.0,8.5,0.213,0.017517022033637437,0.014299243026338879,1.0419329888999038,0.02261226242668434,0,"[0.         0.73118284 1.07318772 1.32084643 1.50953878 1.80437057
 2.11099563 2.33506779 2.52376014 2.88935156 3.21956317 3.49080842]","[0.      0.07675 0.1385  0.19425 0.247   0.345   0.4385  0.5285  0.6155
 0.7835  0.9485  1.1095 ]",-0.03794935495441298,"[121.0321579  186.76847839 183.64746094 186.26370239 164.48144531
 167.14733887 152.43096924 170.57478333 157.42045593 161.08506775
 145.16059875 145.77627563]"
0.03,0.35,0.1,9.0,7.500000000000001,0.213,0.01818704200469906,0.013478059463157317,1.1461570993766317,0.02263684129407397,0,"[0.         0.68400976 1.00242809 1.22650026 1.4151926  1.72181767
 1.9576831  2.18175526 2.38224088 2.73603903 3.04266409 3.32570261]","[0.      0.07525 0.13625 0.19275 0.24625 0.34625 0.44225 0.53525 0.62625
 0.80225 0.97125 1.14125]",-0.1322721749358517,"[177.91235352 261.30871582 262.19973755 240.62779236 244.26200867
 214.5635376  213.15585327 189.05241394 178.59999084 159.86949158
 136.98701477 126.49611664]"
0.03,0.39999999999999997,0.07,11.0,8.5,0.213,0.018100877416688713,0.013952189184125928,1.0040446095210303,0.022854000662545542,0,"[0.         0.7075963  1.02601464 1.26188007 1.47415896 1.75719748
 2.02844273 2.24072162 2.42941397 2.77141885 3.08983718 3.36108243]","[0.      0.0765  0.13825 0.19425 0.2475  0.3465  0.441   0.5325  0.6215
 0.7925  0.9605  1.1245 ]",-0.0036603716165324483,"[ 93.81752777 172.36694336 168.05659485 170.75193787 165.22665405
 163.50689697 158.1930542  167.89649963 156.66384888 161.85346985
 162.08056641 167.18789673]"
