,tr,ts,ti,n,alpha,Ks,RMSETWT,RMSEVOL,RMSE,Converged
0,0.03,0.36,0.09,8.0,0.060000000000000005,0.1,1.0387151290501004,0.7020538957527883,1.253717987371655,0
3,0.03,0.4600000000000001,0.09,5.25,0.060000000000000005,0.36000000000000004,0.3810645680147199,0.16986599154431498,0.4172105704312612,0
4,0.03,0.42000000000000004,0.09,2.75,0.09999999999999999,0.31000000000000005,0.7464614759962499,0.4326674854512027,0.8627895966648917,0
5,0.03,0.38,0.09,9.25,0.04,0.11,0.6000866722839548,0.4863793651136256,0.7724434614010038,0
6,0.03,0.34,0.1,3.0,0.029999999999999992,0.4,0.49716458076847425,0.6760655338118733,0.8391884331775706,0
7,0.03,0.4600000000000001,0.09,6.0,0.09999999999999999,0.21000000000000002,0.5467728304538222,0.5215404927951425,0.7556222692241701,0
8,0.03,0.4600000000000001,0.09,7.5,0.01,0.16000000000000003,1.4664527761276467,1.565495321487739,2.1450546254611984,0
9,0.03,0.38000000000000006,0.1,4.5,0.03599999999999999,0.30000000000000004,0.12478327821980964,0.3215184374832439,0.3448839981282823,0
10,0.03,0.34,0.1,4.5,0.037999999999999985,0.3400000000000001,0.4596939726912944,0.39130562653549134,0.6036875366338433,0
12,0.03,0.38,0.09,8.0,0.01,0.46,3.4138126897458383,5.709614865771012,6.65235439495695,0
14,0.03,0.38,0.09,1.5,0.05,0.31000000000000005,,,,1
15,0.03,0.4,0.09,6.0,0.04,0.36000000000000004,0.23583002995673724,0.5841892304867204,0.6299943333444057,0
16,0.03,0.36,0.09,5.75,0.06999999999999999,0.21000000000000002,0.626551874953918,0.42540428544503417,0.7573216345010025,0
17,0.03,0.4,0.09,5.0,0.08,0.21000000000000002,0.7575127028425288,0.47779040928005256,0.8956054768522764,0
18,0.03,0.4600000000000001,0.09,5.5,0.060000000000000005,0.31000000000000005,0.20906363664857036,0.02344224534183228,0.21037381737134522,0
21,0.03,0.44000000000000006,0.09,9.5,0.09999999999999999,0.31000000000000005,0.07548629125572173,0.24919379277649228,0.2603761251072706,0
22,0.03,0.36000000000000004,0.1,5.0,0.037999999999999985,0.24000000000000002,0.14183791309975521,0.033816228599101,0.1458133426993578,0
23,0.03,0.38,0.09,3.0,0.06999999999999999,0.21000000000000002,0.8271623946241623,0.5213450650880534,0.9777516576166185,0
24,0.03,0.38,0.09,7.25,0.060000000000000005,0.26,0.049282745550279394,0.1386394194784923,0.1471382942755112,0
25,0.03,0.36,0.09,9.25,0.08,0.11,1.1042376686577586,0.7390697831508652,1.3287456390330652,0
26,0.03,0.36,0.09,9.25,0.09,0.16000000000000003,0.8937583080835715,0.6280472902842059,1.0923586005070596,0
27,0.03,0.42000000000000004,0.09,2.75,0.06999999999999999,0.26,0.36044409835061275,0.40210035459654436,0.5400042992444162,0
29,0.03,0.42000000000000004,0.09,9.5,0.04,0.46,0.6157024273003198,1.1540397141202148,1.3080126684211328,0
30,0.03,0.44000000000000006,0.09,6.5,0.06999999999999999,0.11,1.1380956158508146,0.6937925096225337,1.332895223649323,0
31,0.03,0.38000000000000006,0.1,5.0,0.029999999999999992,0.3600000000000001,0.4945796166217493,0.8776540360196986,1.0074153086584414,0
34,0.03,0.36,0.09,3.25,0.09999999999999999,0.46,0.26281901993103335,0.13217367413117243,0.2941831357689327,0
35,0.03,0.44000000000000006,0.09,8.75,0.09999999999999999,0.36000000000000004,0.09854552403183824,0.13527507493991656,0.16736357491016274,0
36,0.03,0.36,0.09,5.0,0.09,0.21000000000000002,0.7818214382128997,0.5415727386587451,0.9510761234031797,0
37,0.03,0.42000000000000004,0.09,3.0,0.09999999999999999,0.36000000000000004,0.5992152477399245,0.3128872887319011,0.6759862192190157,0
38,0.03,0.44000000000000006,0.09,10.0,0.08,0.31000000000000005,0.09429217540883411,0.10833753520056369,0.14362463534040293,0
40,0.03,0.44000000000000006,0.09,4.0,0.03,0.41000000000000003,0.41342210527073836,1.0635987431945375,1.1411223088045774,0
41,0.03,0.42000000000000004,0.09,8.0,0.01,0.26,2.431476657889934,3.0141662396811055,3.872631774168174,0
42,0.03,0.42000000000000004,0.09,5.75,0.06999999999999999,0.46,0.06937070634195963,0.3184863811975847,0.3259537849246663,0
43,0.03,0.38000000000000006,0.1,4.5,0.03399999999999999,0.16000000000000003,0.48768102971746585,0.25071667822796856,0.5483535716013479,0
44,0.03,0.34,0.1,4.5,0.037999999999999985,0.30000000000000004,0.07373961931141187,0.23069157998288517,0.24219028991929437,0
45,0.03,0.36,0.09,1.5,0.08,0.1,,,,1
46,0.03,0.36,0.09,6.75,0.05,0.26,0.2092191444783839,0.03906583684414479,0.21283512403877378,0
47,0.03,0.36,0.09,2.25,0.03,0.46,0.25107898043562915,0.6278654226026464,0.6762068051392228,0
48,0.03,0.4,0.09,3.0,0.01,0.46,1.6733289854613005,3.982275440511367,4.319554094774708,0
52,0.03,0.4,0.09,10.0,0.09,0.31000000000000005,0.05365364224730587,0.20250704514493653,0.20949419242483847,0
54,0.03,0.34,0.1,3.0,0.022,0.2,0.1459146726427072,0.11000017553016286,0.18273240081905298,0
57,0.03,0.36,0.09,6.75,0.06999999999999999,0.16000000000000003,0.8148884711948963,0.559693406458691,0.9885848115967031,0
58,0.03,0.4600000000000001,0.09,3.5,0.05,0.31000000000000005,0.38311097919135495,0.03385982575265259,0.38460435537960147,0
59,0.03,0.4600000000000001,0.09,1.75,0.05,0.16000000000000003,,,,1
60,0.03,0.36,0.09,8.5,0.01,0.21000000000000002,1.1411370808335426,2.2318557456595025,2.50666589450741,0
61,0.03,0.38000000000000006,0.1,4.5,0.023999999999999997,0.22000000000000003,0.12876369578998273,0.37328902976335454,0.39487313037881144,0
62,0.03,0.34,0.1,3.0,0.025999999999999995,0.38,0.5733818782872326,0.7925991722280982,0.9782536614625377,0
64,0.03,0.36,0.09,5.25,0.01,0.46,3.176016121012965,5.0939476827832975,6.00294772556513,0
65,0.03,0.42000000000000004,0.09,2.0,0.03,0.46,0.10974446373994746,0.5246950726215496,0.5360492202726368,0
66,0.03,0.36,0.09,1.75,0.05,0.41000000000000003,0.42614267956973306,0.19187380136433435,0.4673469150437095,0
67,0.03,0.34,0.1,4.5,0.029999999999999992,0.30000000000000004,0.5162627724503986,0.49416625835002786,0.714652041982557,0
68,0.03,0.4600000000000001,0.09,9.0,0.01,0.11,0.9402907915078622,0.8640454914721407,1.276997017979218,0
69,0.03,0.38000000000000006,0.1,4.5,0.02,0.22000000000000003,0.2609285817549695,0.6043568864021212,0.6582787942189283,0
70,0.03,0.44000000000000006,0.09,4.75,0.06999999999999999,0.11,1.1849893538362928,0.7151518186779179,1.3840671560526563,0
71,0.03,0.42000000000000004,0.09,3.25,0.04,0.26,0.38725589590087867,0.021438591565990046,0.3878488650471025,0
72,0.03,0.42000000000000004,0.09,9.25,0.09,0.21000000000000002,0.7716782214643609,0.4754334676990393,0.9063797546783207,0
74,0.03,0.44000000000000006,0.09,3.0,0.060000000000000005,0.46,0.159172906580185,0.230784642758857,0.2803525735971003,0
75,0.03,0.36,0.09,8.0,0.05,0.21000000000000002,0.1901149918866981,0.20044899211935863,0.27626709645150643,0
76,0.03,0.36,0.09,6.0,0.01,0.21000000000000002,1.0231380751287076,2.0427023573606276,2.2846103478590702,0
77,0.03,0.36000000000000004,0.1,4.0,0.03199999999999999,0.32000000000000006,0.23998860241974793,0.4728462870126682,0.5302623317123804,0
78,0.03,0.36,0.09,5.0,0.09999999999999999,0.16000000000000003,1.023220904935586,0.6930316447981771,1.2358292280848784,0
80,0.03,0.38000000000000006,0.1,3.5,0.037999999999999985,0.1,0.9708888781830123,0.6284103211609966,1.1565140489942762,0
85,0.03,0.4600000000000001,0.09,10.0,0.060000000000000005,0.26,0.15266494857207344,0.06485065426295511,0.16586800137714075,0
86,0.03,0.34,0.1,3.5,0.03999999999999998,0.28,0.1647158879193128,0.014228528853445487,0.1653292919188277,0
88,0.03,0.34,0.1,3.0,0.029999999999999992,0.3400000000000001,0.28817398043782716,0.43442500012468577,0.5213149947341956,0
89,0.03,0.44000000000000006,0.09,4.5,0.02,0.11,0.533666223166607,0.1308617158492124,0.5494765021581093,0
90,0.03,0.4,0.09,7.75,0.060000000000000005,0.46,0.2636025907847926,0.5315783139622984,0.5933479836853368,0
91,0.03,0.4,0.09,5.0,0.09999999999999999,0.11,1.1443863348065935,0.8032240127552629,1.3981376534371484,0
92,0.03,0.36,0.09,5.25,0.02,0.41000000000000003,1.0821279981610845,2.002317115227589,2.2760217121849804,0
93,0.03,0.38,0.09,4.25,0.05,0.26,0.373504549029273,0.11944269518615754,0.39213799303165453,0
94,0.03,0.4600000000000001,0.09,2.5,0.03,0.11,1.0211703850853449,0.5349847405534106,1.1528215941768056,0
98,0.03,0.38,0.09,6.25,0.01,0.11,0.24374384639061794,0.6879490683849108,0.729852713460024,0
99,0.03,0.36,0.09,10.0,0.08,0.41000000000000003,0.39310931842051106,0.11523960094082236,0.40965241590162593,0
100,0.03,0.42000000000000004,0.09,3.0,0.05,0.36000000000000004,0.26455796961525896,0.09363134922841439,0.28063811010851963,0
102,0.03,0.36,0.09,8.75,0.03,0.31000000000000005,0.8949405888119177,0.8036965040984065,1.20284942041929,0
104,0.03,0.36,0.09,3.75,0.02,0.11,0.5346992597420164,0.23549243301714262,0.5842602026297818,0
105,0.03,0.4600000000000001,0.09,3.5,0.09999999999999999,0.46,0.15123477542864433,0.05091092949128587,0.15957405816930006,0
106,0.03,0.36,0.09,1.5,0.08,0.46,,,,1
107,0.03,0.4600000000000001,0.09,4.5,0.03,0.26,0.5348594135682478,0.4111043314557349,0.674597186196501,0
108,0.03,0.4,0.09,7.75,0.09999999999999999,0.26,0.3270075070825445,0.4037167253677594,0.5195393190414054,0
109,0.03,0.38,0.09,9.5,0.08,0.21000000000000002,0.44353220781143154,0.431804872212747,0.6190123318906899,0
110,0.03,0.36,0.09,9.75,0.060000000000000005,0.11,0.9540308180433004,0.6594995389118935,1.1597906895648753,0
112,0.03,0.36,0.09,4.25,0.060000000000000005,0.46,0.14586895979821066,0.32622229353617127,0.35734960225612666,0
113,0.03,0.38,0.09,5.5,0.03,0.21000000000000002,0.17246549680833786,0.15653257925002897,0.23290941577362947,0
114,0.03,0.36,0.09,2.0,0.01,0.41000000000000003,1.0266007562914863,2.1716843200459253,2.402107803315993,0
